station_id,station_name,lat,lon,first_trip,last_trip,rides,geoid
3313.0,6 Ave & 12 St,40.66631810000001,-73.9854617,2016-08-26,2019-07-31,19230,36047013900
3322.0,12 St & 4 Ave,40.668603000000004,-73.99043940000001,2016-08-26,2019-07-31,12776,36047011700
3333.0,Columbia St & Lorraine St,40.6747055,-74.00755720000002,2016-08-26,2019-07-31,3198,36047008500
3317.0,10 St & 5 Ave,40.6686273,-73.98700053,2016-08-27,2019-07-31,18324,36047013900
3330.0,Henry St & Bay St,40.672505799999996,-74.00494695,2016-08-27,2019-07-31,6306,36047005300
3427.0,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,2016-08-29,2019-07-31,179488,36061004300
3364.0,Carroll St & 5 Ave,40.6751622,-73.9814832,2016-08-29,2019-07-31,34551,36047013300
3324.0,3 Ave & 14 St,40.6685455,-73.99333264,2016-08-29,2019-07-31,16055,36047011700
3388.0,President St & Henry St,40.6828003,-73.99990419,2016-08-29,2019-07-31,24923,36047006700
3298.0,Warren St & Court St,40.686371,-73.99383324,2016-08-29,2019-07-31,34313,36047006900
3421.0,Hoyt St & Warren St,40.6843549,-73.98901629,2016-08-29,2018-11-30,10118,36047007100
3329.0,Degraw St & Smith St,40.6829151,-73.99318208,2016-08-30,2019-07-31,28844,36047007500
3326.0,Clinton St & Centre St,40.67434,-74.00194698,2016-08-30,2019-07-31,6523,36047005300
3410.0,Dean St & Hoyt St,40.686444200000004,-73.98759104,2016-08-30,2019-07-31,25239,36047004100
3300.0,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,2016-08-30,2019-07-31,34652,36047017700
3361.0,Carroll St & 6 Ave,40.6740886,-73.9787282,2016-08-30,2019-07-31,36176,36047015700
3382.0,Carroll St & Smith St,40.680611,-73.99475825,2016-08-30,2019-07-31,51667,36047007500
3397.0,Court St & Nelson St,40.6763947,-73.99869893,2016-08-30,2019-07-31,23750,36047007700
3386.0,1 Pl & Clinton St,40.6809591,-73.99905709,2016-08-30,2019-07-31,24249,36047006500
3340.0,Wolcott St & Dwight St,40.6753274,-74.0100698,2016-08-30,2019-07-31,7217,36047005300
3394.0,Columbia St & W 9 St,40.6769993,-74.00647134,2016-08-30,2019-07-31,5032,36047008500
3353.0,Reed St & Van Brunt St,40.6747844,-74.01612847,2016-08-31,2017-08-28,8246,36047005300
3342.0,Pioneer St & Richards St,40.677774799999995,-74.0094613,2016-08-31,2019-07-31,7728,36047008500
3130.0,21 St & Queens Plaza North,40.75325964,-73.94335788,2015-08-01,2019-07-31,17642,36081002500
3136.0,5 Ave & E 63 St,40.766368,-73.971518,2015-09-01,2019-07-31,69587,36061014300
3240.0,NYCBS Depot BAL - DYR,40.759030082196055,-73.9938586950302,2016-12-01,2018-08-31,124,36061012100
3283.0,W 89 St & Columbus Ave,40.7882213,-73.97041561,2016-09-01,2019-07-31,63091,36061017300
3293.0,W 92 St & Broadway,40.7921,-73.9739,2016-09-01,2019-07-31,51569,36061017900
3296.0,E 93 St & 2 Ave,40.78245417527987,-73.94891962409021,2017-08-01,2019-07-31,21551,36061015400
3318.0,2 Ave & E 96 St,40.7839636,-73.94716729999998,2017-02-01,2019-07-31,56575,36061015601
3319.0,14 St & 5 Ave,40.666287,-73.98895053,2016-09-01,2019-07-31,28543,36047014100
3328.0,W 100 St & Manhattan Ave,40.795,-73.9645,2016-09-01,2019-07-31,38060,36061018900
3332.0,Degraw St & Hoyt St,40.68199044270703,-73.99079024791719,2016-09-01,2019-07-31,17975,36047007500
3337.0,Dwight St & Van Dyke St,40.67363551341504,-74.01195555925368,2017-02-01,2019-07-31,5961,36047005300
3338.0,2 Ave & E 99 St,40.786258600000004,-73.94552579,2016-09-01,2019-07-31,17383,36061016400
3344.0,Pioneer St & Van Brunt St,40.679043,-74.011169,2016-09-01,2019-07-31,19879,36047005900
3346.0,Berkeley Pl & 7 Ave,40.675146838709786,-73.9752320945263,2016-10-01,2019-07-31,47903,36047015900
3347.0,Van Brunt St & Wolcott St,40.6773429,-74.01275056,2016-09-01,2019-07-31,20220,36047005300
3348.0,Coffey St & Conover St,40.677236,-74.015665,2016-09-01,2019-07-31,14754,36047005300
3349.0,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,2016-09-01,2019-07-31,68232,36047015900
3352.0,Sigourney St & Columbia St,40.67267243410948,-74.00879524648191,2017-01-01,2019-07-31,7827,36047005300
3354.0,3 St & Prospect Park West,40.668132,-73.97363831,2016-09-01,2019-07-31,48988,36047017700
3355.0,E 66 St & Madison Ave,40.768008893059466,-73.96845281124116,2016-09-01,2019-07-31,25134,36061012200
3356.0,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,2016-09-01,2019-07-31,44583,36061015100
3358.0,Garfield Pl & 8 Ave,40.671197799999995,-73.97484126,2016-09-01,2019-07-31,28849,36047015700
3359.0,E 68 St & Madison Ave,40.7691572,-73.96703464,2016-09-01,2019-07-31,29651,36061012200
3360.0,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,2016-09-01,2019-07-31,80263,36061016700
3362.0,Madison Ave & E 82 St,40.7781314,-73.96069399,2016-09-01,2019-07-31,51101,36061014200
3365.0,3 St & 7 Ave,40.67038370000001,-73.97839676,2016-09-01,2019-07-31,36557,36047015500
3369.0,E 82 St & East End Ave,40.7724607,-73.9468208,2017-06-01,2019-07-31,25146,36061013600
