station_id,station_name,lat,lon,first_trip,last_trip,geoid,trips_starting_here_2017,trips_ending_here_2017,total_trips_2017
278.0,Concord St & Bridge St,40.69766564,-73.98476437,2013-06-01,2019-07-31,36047001500,33743,34065,67808
261.0,Johnson St & Gold St,40.69474881,-73.98362464,2013-06-01,2019-07-31,36047001500,33743,34065,67808
228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,2013-06-01,2019-07-31,36061009200,85127,87094,172221
359.0,E 47 St & Park Ave,40.75510267,-73.97498696,2013-06-01,2019-07-31,36061009200,85127,87094,172221
268.0,Howard St & Centre St,40.71910537,-73.99973337,2013-06-01,2019-07-31,36061004500,33806,33804,67610
323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,2013-06-01,2019-07-31,36047001100,41912,41321,83233
233.0,Joralemon St & Adams St,40.69246277,-73.98963911,2013-06-01,2016-06-29,36047001100,41912,41321,83233
3440.0,Fulton St & Adams St,40.692418292578466,-73.98949474096298,2016-11-01,2019-07-31,36047001100,41912,41321,83233
303.0,Mercer St & Spring St,40.72362738,-73.99949601,2013-06-01,2019-07-31,36061004900,68175,69113,137288
348.0,W Broadway & Spring St,40.72490985,-74.00154702,2013-06-01,2017-08-28,36061004900,68175,69113,137288
3467.0,W Broadway & Spring Street,40.72494672359416,-74.00165855884552,2017-08-01,2019-07-31,36061004900,68175,69113,137288
488.0,W 39 St & 9 Ave,40.75645824,-73.99372222,2013-06-01,2017-06-30,36061011500,60684,60584,121268
529.0,W 42 St & 8 Ave,40.75756989999999,-73.99098507,2013-06-01,2019-07-31,36061011500,60684,60584,121268
325.0,E 19 St & 3 Ave,40.73624527,-73.98473765,2013-06-01,2019-07-31,36061004800,34634,35185,69819
354.0,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,2013-06-01,2019-07-31,36047019300,49444,44204,93648
399.0,Lafayette Ave & St James Pl,40.68851534,-73.9647628,2013-06-01,2019-07-31,36047019300,49444,44204,93648
364.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,2013-06-01,2019-07-31,36047019300,49444,44204,93648
244.0,Willoughby Ave & Hall St,40.69196035,-73.96536851,2013-06-01,2019-07-31,36047019300,49444,44204,93648
539.0,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2013-06-01,2019-07-31,36047055300,84873,87238,172111
3093.0,N 6 St & Bedford Ave,40.71745169,-73.95850939,2015-08-01,2019-07-31,36047055300,84873,87238,172111
3092.0,Berry St & N 8 St,40.7190095,-73.95852515,2015-08-01,2019-07-31,36047055300,84873,87238,172111
532.0,S 5 Pl & S 4 St,40.710451,-73.960876,2013-06-01,2019-07-31,36047052300,24621,22028,46649
2010.0,Grand St & Greene St,40.72165481,-74.00234737,2013-06-01,2019-03-31,36061004700,40704,38826,79530
3474.0,6 Ave & Spring St,40.7252556952547,-74.00412082672119,2017-06-01,2019-03-31,36061004700,40704,38826,79530
267.0,Broadway & W 36 St,40.75097711,-73.98765428,2013-06-01,2019-07-31,36061010900,60210,61191,121401
362.0,Broadway & W 37 St,40.75172632,-73.98753523,2013-06-01,2019-07-31,36061010900,60210,61191,121401
3464.0,W 37 St & Broadway,40.752270938374096,-73.98770570755005,2017-05-01,2017-10-31,36061010900,60210,61191,121401
173.0,Broadway & W 49 St,40.76064679,-73.98442659,2013-06-01,2019-07-31,36061012500,46717,46388,93105
416.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,2013-06-01,2019-07-31,36047018100,12440,11413,23853
471.0,Grand St & Havemeyer St,40.71286844,-73.95698119,2013-06-01,2019-07-31,36047051900,29450,29987,59437
3085.0,Roebling St & N 4 St,40.714690000000004,-73.95739,2015-09-01,2019-07-31,36047051900,29450,29987,59437
3088.0,Union Ave & Jackson St,40.7160751,-73.95202900000002,2015-08-01,2019-07-31,36047051900,29450,29987,59437
243.0,Fulton St & Rockwell Pl,40.687979,-73.978474,2013-06-01,2019-07-31,36047003300,30837,42516,73353
324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,2013-06-01,2019-07-31,36047003300,30837,42516,73353
271.0,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,2013-06-01,2015-08-31,36047003500,69406,70714,140120
83.0,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,2013-06-01,2019-07-31,36047003500,69406,70714,140120
274.0,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,2013-06-01,2019-07-31,36047003500,69406,70714,140120
353.0,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,2013-06-01,2019-07-31,36047003500,69406,70714,140120
3222.0,Hanson Pl & St Felix St,40.68515959989177,-73.97711366415024,2015-08-01,2016-09-30,36047003500,69406,70714,140120
3429.0,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,2016-09-01,2019-07-31,36047003500,69406,70714,140120
456.0,E 53 St & Madison Ave,40.75971079999999,-73.97402311,2013-06-01,2019-07-31,36061010200,23518,24264,47782
137.0,E 56 St & Madison Ave,40.761628,-73.972924,2013-06-01,2016-11-30,36061010200,23518,24264,47782
461.0,E 20 St & 2 Ave,40.73587678,-73.98205027,2013-06-01,2019-07-31,36061006400,49052,49040,98092
375.0,Mercer St & Bleecker St,40.72679454,-73.99695094,2013-06-01,2016-06-29,36061005501,45053,44085,89138
3260.0,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,2016-06-01,2019-07-31,36061005501,45053,44085,89138
518.0,E 39 St & 2 Ave,40.74780373,-73.97344190000003,2013-06-01,2019-07-31,36061007800,50488,50239,100727
499.0,Broadway & W 60 St,40.76915505,-73.98191841,2013-06-01,2019-07-31,36061014500,54870,49546,104416
307.0,Canal St & Rutgers St,40.71427487,-73.98990025,2013-06-01,2019-07-31,36061000600,68040,68723,136763
340.0,Madison St & Clinton St,40.71269042,-73.98776323,2013-06-01,2019-07-31,36061000600,68040,68723,136763
331.0,Pike St & Monroe St,40.71173107,-73.99193043,2013-06-01,2019-07-31,36061000600,68040,68723,136763
153.0,E 40 St & 5 Ave,40.752062306999996,-73.9816324043,2013-06-01,2017-10-31,36061008200,62733,57545,120278
3235.0,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,2015-10-01,2019-07-31,36061008200,62733,57545,120278
3234.0,E 40 St & Madison Ave,40.75159368451112,-73.98043155670166,2015-10-21,2016-01-31,36061008200,62733,57545,120278
3643.0,E 41 St & 5 Ave,40.75272201381188,-73.98123621940613,2017-10-01,2018-04-30,36061008200,62733,57545,120278
232.0,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2013-06-01,2018-11-30,36047001300,32767,31093,63860
392.0,Jay St & Tech Pl,40.695065,-73.987167,2013-06-01,2019-07-31,36047001300,32767,31093,63860
321.0,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,2013-06-01,2019-07-31,36047001300,32767,31093,63860
350.0,Clinton St & Grand St,40.71559509,-73.9870295,2013-06-01,2019-07-31,36061001401,26173,26230,52403
422.0,W 59 St & 10 Ave,40.770513,-73.988038,2013-06-01,2019-07-31,36061014700,21787,21743,43530
341.0,Stanton St & Mangin St,40.71782143,-73.97628939,2013-06-01,2019-07-31,36061001002,13784,13884,27668
442.0,W 27 St & 7 Ave,40.746646999999996,-73.993915,2013-06-01,2019-07-31,36061009500,58692,60546,119238
363.0,West Thames St,40.70834698,-74.01713445,2013-06-01,2019-07-31,36061031704,128763,122861,251624
2008.0,Little West St & 1 Pl,40.70569254,-74.01677685,2013-06-01,2019-07-31,36061031704,128763,122861,251624
3002.0,South End Ave & Liberty St,40.711512,-74.01575600000002,2013-06-01,2019-07-31,36061031704,128763,122861,251624
294.0,Washington Square E,40.73049393,-73.99572140000002,2013-06-01,2016-01-31,36061005900,39480,37722,77202
3244.0,University Pl & E 8 St,40.73143724085228,-73.99490341544151,2016-01-01,2019-07-31,36061005900,39480,37722,77202
368.0,Carmine St & 6 Ave,40.73038599,-74.00214988,2013-06-01,2019-07-31,36061006700,72286,74372,146658
514.0,12 Ave & W 40 St,40.76087502,-74.00277668,2013-06-01,2019-07-31,36061011700,99145,105849,204994
478.0,11 Ave & W 41 St,40.76030096,-73.99884222,2013-06-01,2019-07-31,36061011700,99145,105849,204994
485.0,W 37 St & 5 Ave,40.75038009,-73.98338988,2013-06-01,2019-07-31,36061008400,33485,33880,67365
120.0,Lexington Ave & Classon Ave,40.68676793,-73.95928168,2013-06-01,2019-07-31,36047023300,14391,13415,27806
409.0,DeKalb Ave & Skillman St,40.6906495,-73.95643107,2013-06-01,2019-03-31,36047023300,14391,13415,27806
472.0,E 32 St & Park Ave,40.74571210000001,-73.98194829,2013-06-01,2019-07-31,36061007200,137241,138784,276025
476.0,E 31 St & 3 Ave,40.74394314,-73.97966069,2013-06-01,2019-07-31,36061007200,137241,138784,276025
546.0,E 30 St & Park Ave S,40.74444921,-73.98303529,2013-06-01,2019-07-31,36061007200,137241,138784,276025
305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,2013-06-01,2019-07-31,36061011203,37192,38370,75562
493.0,W 45 St & 6 Ave,40.7568001,-73.98291153,2013-06-01,2019-07-31,36061011900,5028,5075,10103
355.0,Bayard St & Baxter St,40.71602118,-73.99974372,2013-06-01,2019-07-31,36061002900,31603,32517,64120
433.0,E 13 St & Avenue A,40.72955361,-73.98057249,2013-06-01,2018-10-31,36061003400,50668,50326,100994
526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,2013-06-01,2019-07-31,36061007400,86195,86920,173115
474.0,5 Ave & E 29 St,40.7451677,-73.98683077,2013-06-01,2019-07-31,36061007400,86195,86920,173115
393.0,E 5 St & Avenue C,40.72299208,-73.97995466,2013-06-01,2019-07-31,36061002601,19444,20506,39950
308.0,St James Pl & Oliver St,40.71307916,-73.99851193,2013-06-01,2019-07-31,36061002700,19645,20157,39802
408.0,Market St & Cherry St,40.71076228,-73.99400398,2013-06-01,2019-07-31,36061000800,38013,38079,76092
295.0,Pike St & E Broadway,40.71406667,-73.99293911,2013-06-01,2019-07-31,36061000800,38013,38079,76092
239.0,Willoughby St & Fleet St,40.69196566,-73.9813018,2013-06-01,2019-07-31,36047003100,48487,44238,92725
