GEOID,TRACT,CENTLAT,CENTLON
36005036901,36901,40.84441270000001,-73.8918108
36005036902,36902,40.8426434,-73.892949
36005037000,37000,40.8730921,-73.8590214
36005037100,37100,40.8472204,-73.88737809999999
36005037200,37200,40.873802500000004,-73.8632803
36005037300,37300,40.848673299999994,-73.8901415
36005037400,37400,40.87453789999999,-73.86667109999999
36005037504,37504,40.8502936,-73.892678
36005037600,37600,40.874569,-73.8692131
36005037800,37800,40.87979910000001,-73.86662109999999
36005037900,37900,40.8515594,-73.89878829999999
36005038000,38000,40.8780935,-73.8624415
36005038100,38100,40.852058299999996,-73.9011465
36005038200,38200,40.877309000000004,-73.8547432
36005038301,38301,40.8572137,-73.8985196
36005038302,38302,40.85745,-73.89500770000001
36005038500,38500,40.856229600000006,-73.89249000000001
36005038600,38600,40.8796352,-73.84840229999999
36005038700,38700,40.858002299999995,-73.88922290000001
36005038800,38800,40.879598200000004,-73.8553665
36005038900,38900,40.8564319,-73.8849744
36005039000,39000,40.8812352,-73.86076
36005039100,39100,40.8531215,-73.88713179999999
36005039200,39200,40.8832885,-73.8647381
36005039300,39300,40.852518100000005,-73.8831358
36005039400,39400,40.886479200000004,-73.8633993
36005039500,39500,40.8481912,-73.8967151
36005039600,39600,40.88442379999999,-73.8589556
36005039700,39700,40.861926700000005,-73.8854132
36005039800,39800,40.882697,-73.8534698
36005039901,39901,40.8635349,-73.8936413
36005039902,39902,40.8604227,-73.8947478
36005040100,40100,40.8646119,-73.8976515
36005040302,40302,40.867867499999996,-73.892176
36005040303,40303,40.869682,-73.8934561
36005040304,40304,40.867670000000004,-73.8951873
36005040400,40400,40.8861691,-73.8513487
36005040501,40501,40.8671472,-73.8908965
36005040502,40502,40.865878,-73.8889613
36005040600,40600,40.8879511,-73.8570053
36005040701,40701,40.8715794,-73.8902604
36005040702,40702,40.8691424,-73.8869998
36005040800,40800,40.889742600000005,-73.861742
36005040900,40900,40.876776799999995,-73.8931387
36005041100,41100,40.875562,-73.8871522
36005041300,41300,40.8741039,-73.8851968
36005041400,41400,40.9035525,-73.854095
36005041500,41500,40.8701057,-73.8835532
36005041800,41800,40.897116100000005,-73.85846009999999
36005041900,41900,40.876859499999995,-73.88168509999998
36005042000,42000,40.8930261,-73.85985579999999
36005042100,42100,40.881479399999996,-73.8827627
36005042200,42200,40.8910968,-73.85528070000001
36005042300,42300,40.877008000000004,-73.8773556
36005042400,42400,40.8892857,-73.8495425
36005042500,42500,40.87101679999999,-73.8790971
36005042600,42600,40.8908411,-73.8419292
36005042800,42800,40.8945094,-73.845703
36005042901,42901,40.874949900000004,-73.87429250000001
36005042902,42902,40.8771332,-73.8739243
